Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-09 11:45:12.191962,28.71,75.98,955.0
2024-07-09 11:45:13.191413,28.46,72.35,955.02
2024-07-09 11:45:14.195093,28.49,71.76,955.03
2024-07-09 11:45:15.195858,28.74,75.37,955.0
2024-07-09 11:45:16.202229,28.53,74.44,955.07
2024-07-09 11:45:17.198702,28.55,74.48,955.02
2024-07-09 11:45:18.206991,28.44,70.76,955.04
2024-07-09 11:45:19.208182,28.25,66.71,955.01
2024-07-09 11:45:20.209972,28.57,72.87,955.05
2024-07-09 11:45:21.211335,28.77,75.71,955.07
2024-07-09 11:45:22.214730,28.44,74.42,955.02
2024-07-09 11:45:23.216008,28.55,74.83,955.03
2024-07-09 11:45:24.222640,28.42,71.34,955.03
2024-07-09 11:45:25.222755,28.51,72.38,955.03
2024-07-09 11:45:26.227932,28.66,75.27,955.05
2024-07-09 11:45:27.225714,28.64,76.08,955.05
2024-07-09 11:45:28.228283,28.45,74.05,955.02
2024-07-09 11:45:29.229631,28.39,70.7,954.99
2024-07-09 11:45:30.236859,28.39,69.58,955.03
2024-07-09 11:45:31.235802,28.42,70.24,955.03
2024-07-09 11:45:32.237541,28.43,71.9,955.01
2024-07-09 11:45:33.239427,28.57,74.29,954.98
2024-07-09 11:45:34.241805,28.77,76.01,955.02
2024-07-09 11:45:35.242166,28.93,76.98,955.02
2024-07-09 11:45:36.249143,28.56,74.95,955.08
2024-07-09 11:45:37.244972,28.53,73.73,955.04
2024-07-09 11:45:38.255678,28.65,75.09,955.02
2024-07-09 11:45:39.255064,28.58,73.95,955.06
2024-07-09 11:45:40.255877,28.5,72.21,955.04
2024-07-09 11:45:41.261916,28.6,74.5,955.04
2024-07-09 11:45:42.259193,28.47,72.62,955.03
2024-07-09 11:45:43.260357,28.58,74.42,955.03
2024-07-09 11:45:44.269734,28.61,75.11,955.05
2024-07-09 11:45:45.268399,28.63,75.57,955.04
2024-07-09 11:45:46.275615,28.46,71.96,955.02
2024-07-09 11:45:47.272134,28.63,74.41,955.02
2024-07-09 11:45:48.281889,28.47,72.52,955.03
2024-07-09 11:45:49.275145,28.5,72.66,955.01
2024-07-09 11:45:50.278900,28.46,71.0,955.03
2024-07-09 11:45:51.287121,28.51,72.22,954.99
2024-07-09 11:45:52.291419,28.61,74.49,955.04
2024-07-09 11:45:53.286690,28.37,70.65,954.97
2024-07-09 11:45:54.296464,28.55,73.69,955.02
2024-07-09 11:45:55.296395,28.4,71.63,955.02
2024-07-09 11:45:56.300956,28.24,65.9,954.99
2024-07-09 11:45:57.299375,28.14,62.4,954.96
2024-07-09 11:45:58.299650,28.41,70.29,954.98
2024-07-09 11:45:59.305190,28.64,73.97,954.99
2024-07-09 11:46:00.309737,28.67,75.38,955.0
